Key,english,german,latam,french,italian,japanese,polish,brazilian,russian,turkish,schinese,tchinese,spanish,bulgarian,czech,danish,greek,estonian,finnish,hungarian,indonesian,lithuanian,latvian,dutch,romanian,slovak,slovenian,swedish
ocbElectricityModernWindmill,Modern Windmill,Windenergieanlage,Molino de viento moderno,"Moulin à vent moderne",Mulino a vento moderno,"モダンな風車",Wiatrak nowoczesny,Moinho de vento moderno,"Современная ветряная мельница","Modern Yel Değirmeni","现代风车","現代風車",Molino de viento moderno,"Модерна вятърна мелница","Moderní větrný mlýn","Moderne vindmølle","Σύγχρονος ανεμόμυλος",Kaasaegne tuuleveski,Moderni tuulimylly,"Modern szélmalom",Kincir Angin Modern,"Šiuolaikinis vėjo malūnas","Mūsdienu vējdzirnavas",Moderne windmolen,"Moara de vânt modernă","Moderný veterný mlyn",Sodobni mlin na veter,"Modern väderkvarn"
ocbElectricityRusticWindmill,Rustic Windmill,Rustikales Windrad,"Molino rústico","Moulin à vent rustique",Mulino a vento rustico,"ラスティックウィンドミル",Wiatrak rustykalny,"Moinho de vento rústico","Деревенская ветряная мельница","Rustik Yel Değirmeni","朴素的风车","[朴樸]素的風車","Molino rústico","Рустикална вятърна мелница","Rustikální větrný mlýn","Rustik vindmølle","Ρουστίκ ανεμόμυλος",Rustiline tuuleveski,Maalaismainen tuulimylly,"Rusztikus szélmalom",Kincir Angin Pedesaan,"Kaimiškas vėjo malūnas","Lauku vējdzirnavas",Rustieke Windmolen,"Moara de vânt rustică","Rustikálny veterný mlyn",Rustikalni mlin na veter,"Rustik väderkvarn"
ocbElectricityModernWindmillBlueprint,Modern Windmill,Windenergieanlage,Molino de viento moderno,"Moulin à vent moderne",Mulino a vento moderno,"モダンな風車",Wiatrak nowoczesny,Moinho de vento moderno,"Современная ветряная мельница","Modern Yel Değirmeni","现代风车","現代風車",Molino de viento moderno,"Модерна вятърна мелница","Moderní větrný mlýn","Moderne vindmølle","Σύγχρονος ανεμόμυλος",Kaasaegne tuuleveski,Moderni tuulimylly,"Modern szélmalom",Kincir Angin Modern,"Šiuolaikinis vėjo malūnas","Mūsdienu vējdzirnavas",Moderne windmolen,"Moara de vânt modernă","Moderný veterný mlyn",Sodobni mlin na veter,"Modern väderkvarn"
ocbElectricityRusticWindmillBlueprint,Rustic Windmill,Rustikales Windrad,"Molino rústico","Moulin à vent rustique",Mulino a vento rustico,"ラスティックウィンドミル",Wiatrak rustykalny,"Moinho de vento rústico","Деревенская ветряная мельница","Rustik Yel Değirmeni","朴素的风车","[朴樸]素的風車","Molino rústico","Рустикална вятърна мелница","Rustikální větrný mlýn","Rustik vindmølle","Ρουστίκ ανεμόμυλος",Rustiline tuuleveski,Maalaismainen tuulimylly,"Rusztikus szélmalom",Kincir Angin Pedesaan,"Kaimiškas vėjo malūnas","Lauku vējdzirnavas",Rustieke Windmolen,"Moara de vânt rustică","Rustikálny veterný mlyn",Rustikalni mlin na veter,"Rustik väderkvarn"
ocbElectricityWindmillDesc,"A windmill producing electricity by wind power. Will normally run around 50% max capacity, but wind is never predictable. Wind is only simulated and not wired to biome weather yet.","Strom produzierendes Windrad. Läuft normalerweise auf ca. 50% der maximalen Kapazität. Wind ist nur simuliert und ist momentan leider noch nicht mit dem Biom-Wetter verknüpft.","Un molino de viento que produce electricidad por la fuerza del viento. Normalmente funcionará alrededor del 50% de su capacidad máxima, pero el viento nunca es predecible. El viento es sólo simulado y aún no está conectado al clima del bioma.","Un moulin à vent produisant de l'électricité grâce à l'énergie éolienne. Elle tourne normalement autour de 50% de sa capacité maximale, mais le vent n'est jamais prévisible. Le vent est seulement simulé et n'est pas encore relié à la météo du biome.","Un mulino a vento che produce elettricità grazie all'energia eolica. Normalmente funziona intorno al 50% della capacità massima, ma il vento non è mai prevedibile. Il vento è solo simulato e non è ancora collegato al meteo del bioma.","風の力で電気を作る風車。通常、最大出力は50%程度ですが、風は予測不可能です。風はあくまでシミュレーションであり、バイオームの天候とはまだ連動していません。","Wiatrak produkujący energię elektryczną za pomocą siły wiatru. Normalnie będzie pracował w okolicach 50% maksymalnej wydajności, ale wiatr nigdy nie jest przewidywalny. Wiatr jest tylko symulowany i nie jest jeszcze podłączony do pogody biome'u.","Um moinho de vento produzindo eletricidade por energia eólica. Normalmente funcionará em torno de 50% da capacidade máxima, mas o vento nunca é previsível. O vento é apenas simulado e ainda não está ligado ao clima do bioma.","Ветряная мельница, вырабатывающая электроэнергию за счет силы ветра. Обычно работает около 50% максимальной мощности, но ветер никогда не предсказуем. Ветер только симулируется и пока не привязан к погоде в биоме.","Rüzgar gücüyle elektrik üreten bir yel değirmeni. Normalde maksimum kapasitenin %50'si civarında çalışacaktır, ancak rüzgar asla tahmin edilemez. Rüzgar sadece simüle edilmiştir ve henüz biyom hava durumuna bağlı değildir.","一个通过风力发电的风车。通常会在最大容量的50%左右运行，但风是永远无法预测的。风只是模拟的，还没有和生物群落的天气联系起来。","一個通過風力[發髮]電的風車。通常會在最大容量的50%左右運行，但風是永遠無法預測的。風[只隹祇衹]是模擬的，[邃還]没有和生物群落的天[气氣]聯[系係繫]起來。","Un molino de viento que produce electricidad por la fuerza del viento. Normalmente funcionará alrededor del 50% de su capacidad máxima, pero el viento nunca es predecible. El viento es sólo simulado y aún no está conectado al clima del bioma.","Вятърна мелница за производство на електроенергия чрез вятърна енергия. Обикновено работи на около 50% от максималния си капацитет, но вятърът никога не е предсказуем. Вятърът е само симулиран и все още не е свързан с времето в биома.","Větrný mlýn vyrábějící elektřinu pomocí větrné energie. Obvykle pracuje s maximálním výkonem kolem 50 %, ale vítr není nikdy předvídatelný. Vítr je pouze simulovaný a zatím není napojen na počasí v biomech.","En vindmølle, der producerer elektricitet ved hjælp af vindkraft. Den vil normalt køre omkring 50 % af sin maksimale kapacitet, men vinden er aldrig forudsigelig. Vinden er kun simuleret og er endnu ikke koblet til biomevejret.","Ένας ανεμόμυλος που παράγει ηλεκτρική ενέργεια από την αιολική ενέργεια. Κανονικά θα λειτουργεί γύρω στο 50% της μέγιστης δυναμικότητας, αλλά ο άνεμος δεν είναι ποτέ προβλέψιμος. Ο άνεμος είναι μόνο προσομοιωμένος και δεν έχει συνδεθεί ακόμα με τον καιρό της περιοχής.","Tuuleveski, mis toodab elektrit tuuleenergia abil. Tavaliselt töötab umbes 50% maksimaalsest võimsusest, kuid tuul ei ole kunagi prognoositav. Tuul on ainult simuleeritud ja ei ole veel ühendatud biomeeni ilmaga.","Tuulivoimalla sähköä tuottava tuulimylly. Toimii yleensä noin 50 prosentin maksimikapasiteetilla, mutta tuuli ei ole koskaan ennustettavissa. Tuuli on vain simuloitu, eikä sitä ole vielä kytketty biomin säähän.","Szélmalom, amely szélerőművekkel termel villamos energiát. Általában 50% körüli maximális kapacitással működik, de a szél soha nem kiszámítható. A szél csak szimulált, és még nincs összekötve a biome időjárással.","Kincir angin yang menghasilkan listrik dengan tenaga angin. Biasanya akan berjalan sekitar 50% kapasitas maksimal, tetapi angin tidak pernah dapat diprediksi. Angin hanya disimulasikan dan belum terhubung dengan cuaca bioma.","Vėjo malūnas, gaminantis elektros energiją naudojant vėjo energiją. Paprastai veikia maždaug 50 % maksimalaus pajėgumo, tačiau vėjas niekada nėra nuspėjamas. Vėjas yra tik imituojamas ir dar nėra prijungtas prie biomo orų.","Vēja dzirnavas, kas ražo elektroenerģiju, izmantojot vēja enerģiju. Parasti tā darbojas ar aptuveni 50 % maksimālās jaudas, taču vējš nekad nav paredzams. Vējš ir tikai simulēts un vēl nav savienots ar biomas laika apstākļiem.","Een windmolen die elektriciteit opwekt door windenergie. Zal normaal draaien rond 50% maximum capaciteit, maar wind is nooit voorspelbaar. Wind is alleen gesimuleerd en nog niet aangesloten op het weer van de biome.","O moară de vânt care produce energie electrică prin intermediul energiei eoliene. În mod normal, va funcționa în jur de 50% din capacitatea maximă, dar vântul nu este niciodată previzibil. Vântul este doar simulat și nu este încă conectat la vremea din biome.","Veterný mlyn, ktorý vyrába elektrinu pomocou veternej energie. Zvyčajne sa pohybuje okolo 50 % maximálneho výkonu, ale vietor nie je nikdy predvídateľný. Vietor je zatiaľ len simulovaný a nie je napojený na počasie v biome.","Mlin na veter, ki proizvaja električno energijo s pomočjo vetra. Običajno deluje s približno 50 % največje zmogljivosti, vendar veter ni nikoli predvidljiv. Veter je samo simuliran in še ni povezan z vremenskimi razmerami.","En väderkvarn som producerar elektricitet med hjälp av vindkraft. Den fungerar normalt till 50 % av sin maxkapacitet, men vinden är aldrig förutsägbar. Vinden är endast simulerad och inte kopplad till biomväder ännu."
ocbElectricitySmallStator,Stator,Generatorstator,"Estator pequeño",Petit stator,Statore piccolo,"小型ステーター","Mały Stator",Pequeno estator,"Малый статор","Küçük Stator","小型定子","小型定子","Estator pequeño","Малък статор","Malý stator",Lille stator,"Μικρός στάτης","Väike staator",Pieni staattori,"Kis állórész",Stator Kecil,"Mažas statorius",Mazais stators,Kleine stator,Stator mic,"Malý stator",Majhen stator,Liten stator
ocbElectricitySmallStatorDesc,"Can be scrapped or smelted to brass, but is also required in small windmills to produce power. Can be crafted in forges.","Kann verschrottet oder zu Messing verhüttet werden, wird aber auch in kleinen Windmühlen zur Stromerzeugung benötigt. Kann in Schmieden hergestellt werden.","Se puede desguazar o fundir para obtener latón, pero también es necesario en los pequeños molinos de viento para producir energía. Puede fabricarse en forjas.","Il peut être mis au rebut ou fondu en laiton, mais il est également nécessaire dans les petits moulins à vent pour produire de l'énergie. Peut être fabriqué dans les forges.","Può essere rottamato o fuso per ottenere l'ottone, ma è anche necessario per i piccoli mulini a vento per produrre energia. Può essere lavorato nelle fucine.","スクラップにしたり、製錬して真鍮にすることもできるが、小型の風車では発電に必要。鍛冶場で作ることができる。","Może być złomowany lub przetapiany na mosiądz, ale jest również wymagany w małych wiatrakach do produkcji energii. Może być wytwarzany w kuźniach.","Pode ser sucateado ou fundido em latão, mas também é necessário em pequenos moinhos de vento para produzir energia. Pode ser fabricado em forjas.","Можно сдать в металлолом или переплавить в латунь, но она также необходима в небольших ветряных мельницах для производства электроэнергии. Может быть изготовлен в кузницах.","Hurdaya çıkarılabilir veya eritilerek pirinç elde edilebilir, ancak güç üretmek için küçük yel değirmenlerinde de gereklidir. Demir ocaklarında işlenebilir.","可以报废或熔炼成黄铜，但小型风车也需要它来发电。可在锻炉中制作。","可以報廢或熔煉成黄銅，但小型風車也需要它來[發髮]電。可在鍛爐中[制製]作。","Se puede desguazar o fundir para obtener latón, pero también es necesario en los pequeños molinos de viento para producir energía. Puede fabricarse en forjas.","Може да се бракува или да се претопи до месинг, но е необходим и в малки вятърни мелници за производство на енергия. Може да се изработва в ковачници.","Může být sešrotován nebo přetaven na mosaz, ale je také potřebný v malých větrných mlýnech k výrobě energie. Lze vyrobit v kovárnách.","Kan skrottes eller smeltes til messing, men er også nødvendigt i små vindmøller for at producere strøm. Kan fremstilles i smedjer.","Μπορεί να απορριφθεί ή να λιώσει σε ορείχαλκο, αλλά απαιτείται επίσης σε μικρούς ανεμόμυλους για την παραγωγή ενέργειας. Μπορεί να κατασκευαστεί σε σιδηρουργεία.","Võib lammutada või sulatada messingiks, kuid seda on vaja ka väikestes tuuleveskites energia tootmiseks. Saab valmistada sepistes.","Voidaan romuttaa tai sulattaa messingiksi, mutta sitä tarvitaan myös pienissä tuulimyllyissä sähkön tuottamiseen. Voidaan valmistaa takomoissa.","Selejtezhető vagy sárgarézzé olvasztható, de a kis szélmalmokban is szükséges az energiatermeléshez. Kovácstűzhelyeken is előállítható.","Dapat dibuang atau dilebur menjadi kuningan, tetapi juga diperlukan dalam kincir angin kecil untuk menghasilkan tenaga. Dapat dibuat di tempat penempaan.","Galima atiduoti į metalo laužą arba išlydyti į žalvarį, tačiau jo taip pat reikia mažiems vėjo malūnams energijai gaminti. Gali būti gaminamas kalvėse.","To var nodot metāllūžņos vai pārkausēt misiņā, bet tas ir nepieciešams arī nelielās vējdzirnavās, lai ražotu enerģiju. Var izgatavot kalvēs.","Kan worden gesloopt of omgesmolten tot messing, maar is ook nodig in kleine windmolens om energie te produceren. Kan worden gemaakt in smederijen.","Poate fi aruncat la fier vechi sau topit pentru a obține alamă, dar este, de asemenea, necesar în morile de vânt mici pentru a produce energie. Poate fi prelucrat în forje.","Môže sa zošrotovať alebo pretaviť na mosadz, ale je potrebný aj v malých veterných mlynoch na výrobu energie. Môže sa vyrábať v kováčskych dielňach.","Lahko se odvrže ali pretopi v medenino, vendar je potreben tudi v majhnih vetrnicah za proizvodnjo energije. Lahko se izdela v kovačnicah.","Kan skrotas eller smältas till mässing, men behövs också i små väderkvarnar för att producera ström. Kan tillverkas i smedjor."
ocbElectricityAlternator,Alternator,Lichtmaschine,Alternador,Alternateur,Alternatore,"オルタネーター",Alternator,Alternador,"Альтернатор","Alternatör","交流发电机","交流[發髮]電[机機]",Alternador,"Алтернатор","Alternátor",Alternator,"Εναλλάκτης",Vahelduvvooluallikas,Vaihtovirtageneraattori,"Alternátor",Alternator,Alternatorius,Alternators,Dynamo,Alternator,"Alternátor",Alternator,"Växelströmsgenerator"
ocbElectricityAlternatorDesc,Device that converts mechanical energy into electricity. Can be scrapped or smelted to brass. Used in modern windmills. Can be crafted in forges.,"Gerät, das mechanische Energie in Elektrizität umwandelt. Kann verschrottet oder zu Messing verhüttet werden. Wird in modernen Windmühlen verwendet. Kann in Schmieden hergestellt werden.","Dispositivo que convierte la energía mecánica en electricidad. Se puede desguazar o fundir para obtener latón. Se utiliza en los molinos modernos. Puede fabricarse en forjas.","Dispositif qui convertit l'énergie mécanique en électricité. Peut être mis au rebut ou fondu en laiton. Utilisé dans les moulins à vent modernes. Peut être fabriqué dans les forges.","Dispositivo che converte l'energia meccanica in elettricità. Può essere rottamato o fuso in ottone. Utilizzato nei moderni mulini a vento. Può essere fabbricato nelle fucine.","機械エネルギーを電気に変換する装置。スクラップにしたり、製錬して真鍮にすることができる。現代の風車に使われている。鍛冶屋で作ることができる。","Urządzenie przekształcające energię mechaniczną w elektryczną. Może być złomowane lub przetapiane na mosiądz. Używane w nowoczesnych wiatrakach. Może być wytwarzane w kuźniach.","Dispositivo que converte energia mecânica em eletricidade. Pode ser sucateado ou fundido em latão. Usado em moinhos de vento modernos. Pode ser fabricado em forjas.","Устройство, преобразующее механическую энергию в электрическую. Может быть сдан в металлолом или переплавлен в латунь. Используется в современных ветряных мельницах. Может быть изготовлен в кузницах.","Mekanik enerjiyi elektriğe dönüştüren cihaz. Hurdaya ayrılabilir veya eritilerek pirinç haline getirilebilir. Modern yel değirmenlerinde kullanılır. Demirhanelerde işlenebilir.","将机械能转化为电能的装置。可报废或熔炼成黄铜。用于现代风车。可在锻炉中制作。","將[机機]械能轉化[為爲]電能的裝置。可報廢或熔煉成黄銅。用于現代風車。可在鍛爐中[制製]作。","Dispositivo que convierte la energía mecánica en electricidad. Se puede desguazar o fundir para obtener latón. Se utiliza en los molinos modernos. Puede fabricarse en forjas.","Устройство, което преобразува механичната енергия в електричество. Може да бъде бракувано или претопено до месинг. Използва се в съвременните вятърни мелници. Може да се изработва в ковачници.","Zařízení, které přeměňuje mechanickou energii na elektrickou. Může být sešrotováno nebo přetaveno na mosaz. Používá se v moderních větrných mlýnech. Lze vyrobit v kovárnách.","Enhed, der omdanner mekanisk energi til elektricitet. Kan skrottes eller smeltes om til messing. Bruges i moderne vindmøller. Kan fremstilles i smedjer.","Συσκευή που μετατρέπει τη μηχανική ενέργεια σε ηλεκτρική. Μπορεί να απορριφθεί ή να μετατραπεί σε ορείχαλκο. Χρησιμοποιείται στους σύγχρονους ανεμόμυλους. Μπορεί να κατασκευαστεί σε σιδηρουργεία.","Seade, mis muundab mehaanilise energia elektrienergiaks. Võib lammutada või sulatada messingiks. Kasutatakse kaasaegsetes tuuleveskites. Saab valmistada sepistes.","Laite, joka muuntaa mekaanisen energian sähköksi. Voidaan romuttaa tai sulattaa messingiksi. Käytetään nykyaikaisissa tuulimyllyissä. Voidaan valmistaa takomoissa.","Mechanikus energiát villamos energiává alakító eszköz. Selejtezhető vagy sárgarézzé olvasztható. Modern szélmalmokban használják. Kovácstűzhelyeken készíthető.",Perangkat yang mengubah energi mekanik menjadi listrik. Dapat dibuang atau dilebur menjadi kuningan. Digunakan dalam kincir angin modern. Dapat dibuat di bengkel-bengkel tempa.,"Įrenginys, kuris mechaninę energiją paverčia elektros energija. Galima atiduoti į metalo laužą arba išlydyti į žalvarį. Naudojamas šiuolaikiniuose vėjo malūnuose. Gali būti gaminamas kalvėse.","Ierīce, kas pārvērš mehānisko enerģiju elektrībā. Var nodot metāllūžņos vai pārkausēt misiņā. Izmanto mūsdienu vējdzirnavās. Var izgatavot kalvēs.",Apparaat dat mechanische energie omzet in elektriciteit. Kan worden afgedankt of omgesmolten tot messing. Wordt gebruikt in moderne windmolens. Kan worden gemaakt in smederijen.,"Dispozitiv care transformă energia mecanică în energie electrică. Poate fi aruncat la fier vechi sau topit pentru a obține alamă. Folosit la morile de vânt moderne. Poate fi confecționată în forje.","Zariadenie, ktoré premieňa mechanickú energiu na elektrickú. Môže sa zošrotovať alebo pretaviť na mosadz. Používa sa v moderných veterných mlynoch. Dá sa vyrobiť v kováčskych dielňach.","Naprava, ki mehansko energijo pretvarja v električno. Lahko se odvrže ali pretopi v medenino. Uporablja se v sodobnih mlinih na veter. Lahko se izdela v kovačnicah.","Anordning som omvandlar mekanisk energi till elektricitet. Kan skrotas eller smältas till mässing. Används i moderna väderkvarnar. Kan tillverkas i smedjor."
windpowerSchematic,Basics of Wind Power Schematic,"Bauplan – Grundlagen der Windkraft","Esquema básico de la energía eólica","Principes de base de l'énergie éolienne","Nozioni di base sull'energia eolica Schema","風力発電の基本 概略図",Podstawy energetyki wiatrowej Schemat,"Noções básicas do esquema de energia eólica","Основы схемотехники ветроэнергетики","Rüzgar Enerjisi Şemasının Temelleri","风力发电的基础知识示意图","風力[發髮]電的基礎知識示意圖","Esquema básico de la energía eólica","Основи на вятърната енергия","Základy schématu větrné energie","Grundlæggende om vindkraft Skematisk oversigt","Βασικά στοιχεία της αιολικής ενέργειας Σχηματική απεικόνιση","Tuuleenergia skeemide põhitõed",Tuulivoiman perusteet Kaavio,"A szélenergia alapjainak vázlata",Dasar-dasar Skema Tenaga Angin,"Vėjo jėgainių schemos pagrindai","Vēja enerģijas shēmas pamati",Grondbeginselen van windenergie Schema,"Bazele energiei eoliene Schemă","Základy veternej energie",Osnove vetrne energije Shema,"Grunderna för vindkraft Schematisk bild av vindkraft"
